"","station","valid","lon","lat","tmpf","dwpf","relh","drct","sknt","p01i","alti","mslp","vsby","gust","skyc1","skyc2","skyc3","skyc4","skyl1","skyl2","skyl3","skyl4","wxcodes","ice_accretion_1hr","ice_accretion_3hr","ice_accretion_6hr","peak_wind_gust","peak_wind_drct","peak_wind_time","feel","metar"
"143076","ELP","2016-05-23 23:50:00",-106.3758,31.8111,91.4,NA,NA,NA,NA,NA,29.8,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VCBLDU",NA,NA,NA,NA,NA,NA,NA,"KELP 232350Z AUTO /////KT 10SM VCBLDU A2980 RMK T0330 MADISHF"
"143415","ELP","2016-05-25 01:51:00",-106.3758,31.8111,86,3.92,4.29,250,12,0,29.93,1006.2,10,NA,"BKN",NA,NA,NA,25000,NA,NA,NA,"VCBLDU",NA,NA,NA,NA,NA,NA,81.42,"KELP 250151Z 25012KT 10SM VCBLDU BKN250 30/M16 A2993 RMK AO2 SLP062 VCBLDU NE-SE-SW T03001156"
"143701","ELP","2016-05-25 23:51:00",-106.3758,31.8111,91.94,19.04,6.97,260,15,0,29.92,1005.5,6,26,"FEW",NA,NA,NA,12000,NA,NA,NA,"BLDU",NA,NA,NA,26,260,"2016-05-25 23:46",86.24,"KELP 252351Z 26015G26KT 6SM BLDU FEW120 33/M07 A2992 RMK AO2 PK WND 26026/2346 SLP055 BLDU SW-NW MTNS OBSCD SW-NW T03331072 10339 20283 56028"
"143702","ELP","2016-05-25 23:55:00",-106.3758,31.8111,NA,NA,NA,NA,NA,NA,29.92,NA,6,NA,"FEW",NA,NA,NA,12000,NA,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,NA,"KELP 252355Z AUTO /////KT 6SM BLDU FEW120 33/M08 A2992 RMK T03301080 MADISHF"
"143703","ELP","2016-05-26 00:00:00",-106.3758,31.8111,NA,NA,NA,NA,NA,NA,29.92,NA,5,NA,"FEW",NA,NA,NA,12000,NA,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,NA,"KELP 260000Z AUTO /////KT 5SM BLDU FEW120 33/M09 A2992 RMK T03301090 MADISHF"
"143704","ELP","2016-05-26 00:05:00",-106.3758,31.8111,NA,NA,NA,NA,NA,NA,29.91,NA,5,NA,"FEW",NA,NA,NA,12000,NA,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,NA,"KELP 260005Z AUTO /////KT 5SM BLDU FEW120 33/M09 A2991 RMK T03301090 MADISHF"
"143705","ELP","2016-05-26 00:10:00",-106.3758,31.8111,NA,NA,NA,NA,NA,NA,29.91,NA,5,NA,"FEW",NA,NA,NA,12000,NA,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,NA,"KELP 260010Z AUTO /////KT 5SM BLDU FEW120 33/M09 A2991 RMK T03301090 MADISHF"
"143706","ELP","2016-05-26 00:15:00",-106.3758,31.8111,NA,NA,NA,NA,NA,NA,29.92,NA,5,NA,"FEW",NA,NA,NA,12000,NA,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,NA,"KELP 260015Z AUTO /////KT 5SM BLDU FEW120 33/M11 A2992 RMK T03301110 MADISHF"
"143707","ELP","2016-05-26 00:20:00",-106.3758,31.8111,NA,NA,NA,NA,NA,NA,29.91,NA,5,NA,"FEW",NA,NA,NA,12000,NA,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,NA,"KELP 260020Z AUTO /////KT 5SM BLDU FEW120 32/M11 A2991 RMK T03201110  DU SCT001 MTNS OBSCD SW-NW MADISHF"
"143708","ELP","2016-05-26 00:22:00",-106.3758,31.8111,91.04,12.02,5.28,260,18,0,29.91,NA,5,NA,"SCT","SCT",NA,NA,100,12000,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,85.27,"KELP 260022Z 26018KT 5SM BLDU SCT001 SCT120 33/M11 A2991 RMK AO2 PK WND 25028/2356 DU SCT001 MTNS OBSCD SW-NW T03281111"
"143709","ELP","2016-05-26 00:25:00",-106.3758,31.8111,NA,NA,NA,NA,NA,NA,29.92,NA,5,NA,"SCT","SCT",NA,NA,100,12000,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,NA,"KELP 260025Z AUTO /////KT 5SM BLDU SCT001 SCT120 32/M11 A2992 RMK T03201110  DU SCT001 MTNS OBSCD SW-NW MADISHF"
